"filename", "language", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"d:\AngularProject\Polerace\src\app\Platform\home\components\copy-right\copy-right.component.html", "HTML", 0, 29, 0, 3, 17, 49
"d:\AngularProject\Polerace\src\app\Platform\home\components\copy-right\copy-right.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\AngularProject\Polerace\src\app\Platform\home\components\copy-right\copy-right.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\copy-right\copy-right.component.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\AngularProject\Polerace\src\app\Platform\home\components\demo\demo.component.html", "HTML", 0, 51, 0, 5, 7, 63
"d:\AngularProject\Polerace\src\app\Platform\home\components\demo\demo.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\AngularProject\Polerace\src\app\Platform\home\components\demo\demo.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\demo\demo.component.ts", "TypeScript", 29, 0, 0, 0, 6, 35
"d:\AngularProject\Polerace\src\app\Platform\home\components\email\email.component.html", "HTML", 0, 29, 0, 3, 17, 49
"d:\AngularProject\Polerace\src\app\Platform\home\components\email\email.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\AngularProject\Polerace\src\app\Platform\home\components\email\email.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\email\email.component.ts", "TypeScript", 18, 0, 0, 0, 5, 23
"d:\AngularProject\Polerace\src\app\Platform\home\components\faq-cat\faq-cat.component.html", "HTML", 0, 78, 0, 2, 23, 103
"d:\AngularProject\Polerace\src\app\Platform\home\components\faq-cat\faq-cat.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\AngularProject\Polerace\src\app\Platform\home\components\faq-cat\faq-cat.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\faq-cat\faq-cat.component.ts", "TypeScript", 18, 0, 0, 0, 5, 23
"d:\AngularProject\Polerace\src\app\Platform\home\components\faq-details\faq-details.component.html", "HTML", 0, 70, 0, 3, 19, 92
"d:\AngularProject\Polerace\src\app\Platform\home\components\faq-details\faq-details.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\AngularProject\Polerace\src\app\Platform\home\components\faq-details\faq-details.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\faq-details\faq-details.component.ts", "TypeScript", 18, 0, 0, 0, 5, 23
"d:\AngularProject\Polerace\src\app\Platform\home\components\help\help.component.html", "HTML", 0, 69, 0, 3, 20, 92
"d:\AngularProject\Polerace\src\app\Platform\home\components\help\help.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\AngularProject\Polerace\src\app\Platform\home\components\help\help.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\help\help.component.ts", "TypeScript", 18, 0, 0, 0, 5, 23
